Model,Price,Spec
"realme C21 (Cross Black, 64 GB)","₹10,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 9 5G SE (Starry Glow, 128 GB)","₹21,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 9 5G SE (Azure Glow, 128 GB)","₹21,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme C21Y (Cross Black, 32 GB)","₹7,499",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C21 (Cross Blue, 64 GB)","₹10,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 50 Pro 5G (Hyper Black, 128 GB)","₹21,490",8 GB RAM | 128 GB ROM
"realme C21 (Cross Black, 32 GB)","₹9,499",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C11 2021 (Cool Grey, 32 GB)","₹7,499",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme Narzo 50A Prime (Flash Black, 128 GB)","₹12,849",4 GB RAM | 128 GB ROM
"realme Narzo 50A Prime (Flash Black, 64 GB)","₹12,290",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"realme Narzo 50A Prime (Flash Black, 64 GB)","₹12,290",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"realme C21Y (Cross Black, 64 GB)","₹8,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 50A Prime (Flash Blue, 64 GB)","₹12,290",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"realme C11 2021 (Cool Blue, 32 GB)","₹7,499",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C15 (Power Blue, 64 GB)","₹12,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 9i (Prism Blue, 128 GB)","₹14,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme C25_Y (Metal Grey, 64 GB)","₹10,999",4 GB RAM | 64 GB ROM
"realme C2 (Diamond Blue, 16 GB)","₹6,999",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
"realme Narzo 30A (Laser Black, 32 GB)","₹8,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme X3 SuperZoom (Arctic White, 128 GB)","₹24,990",8 GB RAM | 128 GB ROM
"realme X7 Pro 5G (Fantasy, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM
"realme X7 Pro 5G (Mystic Black, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM
"realme 2 (Diamond Blue, 64 GB)","₹10,495",4 GB RAM | 64 GB ROM
"realme 2 (Diamond Red, 32 GB)","₹9,990",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C11 2021 (Cool Blue, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme X50 Pro (Rust Red, 128 GB)","₹41,999",8 GB RAM | 128 GB ROM
"realme X50 Pro (Moss Green, 128 GB)","₹41,999",8 GB RAM | 128 GB ROM
"realme C11 2021 (Cool Grey, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 50 (Speed Blue, 64 GB)","₹14,990",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 9i (Prism Blue, 128 GB)","₹13,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme C3 (Blazing Red, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C3 (Frozen Blue, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C3 (Frozen Blue, 32 GB)","₹7,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C20 (Cool Blue, 32 GB)","₹7,499",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C20 (Cool Grey, 32 GB)","₹7,499",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme Narzo 30 5G (Racing Blue, 128 GB)","₹16,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 2 (Diamond Black, 32 GB)","₹9,990",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme Narzo 50A (Oxygen Blue, 128 GB)","₹12,499",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme X7 5G (Nebula, 128 GB)","₹19,999",6 GB RAM | 128 GB ROM
"realme 8i (Space Purple, 64 GB)","₹11,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 50A (Oxygen Green, 128 GB)","₹11,949",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 8 (Cyber Black, 128 GB)","₹15,499",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 8 (Cyber Black, 128 GB)","₹13,499",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C35 (Glowing Black, 128 GB)","₹12,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 8i (Space Black, 128 GB)","₹17,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 8 (Cyber Black, 128 GB)","₹14,499",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme X2 Pro (Neptune Blue, 256 GB)","₹24,999",12 GB RAM | 256 GB ROM
"realme X2 Pro (Neptune Blue, 128 GB)","₹21,825",8 GB RAM | 128 GB ROM
"realme C35 (Glowing Black, 64 GB)","₹11,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
